Folder,Ship-To-SAP,Link,Ship-To,ATTN: ,From:,CreateDate,CONTRACT NO.: ,PO Number header,PO Number,No2 Header,No2,Material Code Header,Material Code, Note Under Material,USER:,COUNTRY: ,SHIPPER:,FEEDER VESSEL : [c_feeder],MOTHER VESSEL : [c_mother],VESSEL COMPANY :[c_shpline],FORWARDER: [c_fwd],ETD: [c_etd],ETA: [c_eta],PORT of LOADING : ,PORT of DESTINATION: ,DESTINATION: ,BOOKIN NO.,CONSIGNEE,B/L ,FREE TIME :,COURIER ADDRESS,EORI?No,NOTIFY PARTY:,ALSO NOTIFY1,ALSO NOTIFY2,DELIVER TO,REQUIREMENTS:,Note,Note2,Note3,GRADE,QUANTITY(MT),Unit,DESCRIPTION,Under Description,INVOICE NO.,Shipping Mark,Below Signature
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIDGESTONE,BRIDGESTONE DO BRASIL,4900001722 BS BRASIL Doc xls.xls,BRIDGESTONE BRASIL,MR.T. Fujioka/SEVP,KAWAMORI/UEDA,formula,4900001722,BS BRASIL PO No.,4900001722,,,,,,BRIDGESTONE BRASIL,"SANTOS, BRAZIL",TSL ,ONE GRUS V.023E,EVER LOTUS V.1571-060W,YANGMING,MERCURIAL,28/12/2023,01/02/2024,,"SANTOS, BRAZIL","SANTOS, BRAZIL",,BRIDGESTONE DO BRASIL INDUSTRIA E COMERCIO LTDA.,,,,,BRIDGESTONE DO BRASIL IND. E COM. LTDA.,,,,* FULL SET OF CLEAN OCEAN B/L 3 ORIGIANAL +4 COPIES(issued at destination),*PLASE SEND ALL ORIGINAL DOCS EXCEPT COMMERCIAL CIF I/V(TSL-UBE) TO BS BRASIL DIRECLTY(PLS REFER ABOVE ADDRESS),,,UBEPOL BR150L,20.16,MTS,SYNTHETIC RUBBER UBE 150 L BRIDGESTONE,NCM:4002,4900001722,SHIPPING MARK,UBE Elastomer Co. Ltd.
,,,,THAI SYNTHETIC RUBBERS,UBE Elastomer Co. Ltd.,,,,,,,,,,,,,,,,,,,,,,,AV.QUEIROS DOS SANTOS 1717,,,,,"Av. Jornalista Roberto Marinho, 85 ",,,,*PLEASE SHOW THE FOLLOWING WORDS ON DESCRIPTION OF  B/L,"*PLASE SEND US ALL DOCS PDF COPIES BY E-MAIL, NO NEED TO SEND  BY COURIER TO US",,,,,,FIRSTONE COMMON CODE:EC050A(AA2646),"""NCM code for empty packages : 7326"" on B/L",,BRIDGESTONE DO BRASIL IND. COM.,
,,,,"CO., LTD.",TEL:81-3-5419-6167,,,,,,,,,,,,,,,,,,,,,,,SANTO ANDRE-09015-901-SAO PAULO-BRAZIL,,,,,Tower Bridge Corporate – 18º. Floor,,,,(CNPJ: 57.497.539/0001-15 (when is for Santos Port) and,,,,,,,,(CNPJ:57497539/0001-15) ,,LTDA,
,,,,FAX:66-2-685-3056,FAX:81-3-5419-6250,,,,,,,,,,,,,,,,,,,,,,,CNPJ:57497539/0001-15   ATTN:Mr.Paulo,,,,,04576-010 – São Paulo - SP – BRAZIL ,,,,(CNPJ: 57.497.539/0007-00 (when is for Salvador Port).,,,,,,,,INVOICE NO.,,SAO PAULO-BRAZIL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEL:(011)4433-1666 FAX(011)4433-1187,,,,,ATT: Dept. COMEX – Thatielen Bastos ,,,,(NCM CODE (HARMONIZED SYSTEM);4002 <=only 4 number ,,,,,,,,,,SHIP:SANTOS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,E-mail ?ImportacaoLASRM@la-bridgestone.com,,,,,Phone 55-11-4433-1634,,,,(INVOICE NO.4900001722(ITEM10)),,,,,,,,,,ORDER NO.:4900001722,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,E-mail ? impo-bridgestone@nelsonheusi.com. ,,,,,E-mail ?ImportacaoLASRM@la-bridgestone.com,,,,"*""NCM code for empty packages : 7326"" on B/L<=only 4 number ",,,,,,,,,,EC050,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E-mail ? impo-bridgestone@nelsonheusi.com. ,,,,"* Pls mark BSBR code ""EC050A(AA2646)"" and "" PO NO.4900001722 on all document",,,,,,,,,,MADE IN THAILAND,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNPJ 57.497.539/0024-01,,,,* 2 original (Full set)of Certificate of Origin issued by CHAMBER OF COMMERCE,,,,,,,,,,PRODUCER:THAI SYNTHETIC RUBBER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* 3 original of Certificate of Analysis marked BS material code and PO number,,,,,,,,,,ATTN:Dept. COMEX – Thatielen Bastos ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  issued by manufacturer,,,,,,,,,,TELL:55-11-4433-1634,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* two copies of Declaration of non coniferous wood packing materials issued by manufacturer,,,,,,,,,,COM:BRIDGESTONE DO BRASIL ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?Please write the manufacturing date on the Packing List.,,,,,,,,,,INDUSTRIA E COMERCIO LTDA.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*please try to get 21days free time and pls. show it on BL(if you can),,,,,,,,,,"ADD:Av. Jornalista Roberto Marinho, 85 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All documents must signed by hand in blue ink indicating name and title of person signing ,,,,,,,,,,Tower Bridge Corporate – 18º. FL Cidade Monções,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04576-010 – São Paulo - SP – BRAZIL ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ZIP CODE;04576-010, CNPJ;57.497.539/0024-01",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRIDGESTONE DO BRASIL IND. E COM. LTDA.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Av. Jornalista Roberto Marinho, 85 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tower Bridge Corporate – 18º. Floor,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04576-010 – São Paulo - SP – BRAZIL ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATT: Dept. COMEX – Thatielen Bastos ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phone 55-11-4433-1634,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E-mail ?ImportacaoLASRM@la-bridgestone.com,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E-mail ? impo-bridgestone@nelsonheusi.com. ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNPJ 57.497.539/0024-01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIDGESTONE,BRIDGESTONE TATABANYA MANUFACTURING LTD.,BS HUNGARY_5500069106.xlsx,BRIDGESTONE HUNGARY,MR.T. Fujioka /SEVP,D.KAWAMORI/UEDA,formula,5500069106,BS TATABANYA PO No.: ,5500069106,,,,,,BRIDGESTONE HUNGARY,HUNGARY,TSL ,PELICAN V.073S,ONE HELSINKI V.063W,OCEAN NETWORK EXPRESS PTE. LTD.,DIRECT,04/10/2025,02/01/2026,,HAMBURG PORT ,HAMBURG PORT,,Bridgestone Tatabanya Manufacturing Ltd.,,,,HU0002515281,SAME AS CONSIGNEE,,,,* SEA WAY BILL is required.,**Please e-mail ALL docs and  CIF COMMERCIAL IV (between UBE and TSL) by PDF copies to UBE Tokyo. ,,,UBEPOL VCR412,20.16,MTS,POLYBUTADIENE RUBBER ,,,,UBE Elastomer Co. Ltd.
,,,,THAI SYNTHETIC RUBBERS,UBE Elastomer Co. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"* Pls mark BSEU code ""HB12"" and ""5500069106""on all document",*NO need original courier to BS and UBE Tokyo if SEA WAY BILL. ,,,,,,HB12/ UBEPOL VCR412,,,SHIPPING MARK,
,,,,"CO., LTD.",TEL:81-3-5419-6167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* Certificate of Origin issued by CHAMBER OF COMMERCE,,,,,,,,,,,
,,,,,FAX:81-3-5419-6250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* Certificate of Analysis marked BS material code and PO number,,,,,,,,,,BRIDGESTONE TATABANYA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  issued by manufacturer,,,,,,,,,,TERMELO Kft,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* Declaration of non coniferous wood packing materials issued by manufacturer,,,,,,,,,,ORDER NO:5500069106,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* General Insurance policy is accepted.,,,,,,,,,,HB12/UBEPOL VCR412,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,( TSL don’t need to send the insurance policy together with shipping documents),,,,,,,,,,C/NO.1-16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*MSDS,,,,,,,,,,MADE IN THAILAND,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICHELIN,,,MICHELIN SHENYANG TIRE CO.,,,formula,5910244622,,,,,,,,MICHELIN SHENYANG TIRE CO.,"SHENYANG, CHINA",FULL CONTACT DETAIL OF TSL ,,,,,,,"LAEM CHABANG, THAILAND","DALIAN, CHINA",,,"Michelin Shenyang Tire Co.,Ltd ",,,,,SAME AS CONSIGNEE,,,,"*NO NEED TO DISPATCH THE ORIGINAL DOCS. EXCEPT FORM E, PDF FILES OF ORIGINAL ARE ENOUGH.",*Please send ALL ORIGINAL DOCS.PDF COPIES BY E-MAIL to UEC Matsumoto.,MSC SHENYANG ,"Michelin Shenyang Tire Co., LTD",UBEPOL BR150L,20.16,,POLYBUTADIENE RUBBER ,,,SHIPPING MARK,
,,,,,,,,,,,,,,,,,*WITH TRADE RESISTRATION NO.,,,,,,,,,,,"No.12,Xihesi North Street,Shenyang Economic",,,,,,,,,*PLEASE COURIER ORIGINAL FULL SET OF FORME TO MSC SHENYANG,*don't need to include our third party Invoice in your all DOC. PDF.,Courier address,NO.12 XI HE SI BEI Street SHENYANG ECONOMIC & TECHNOLOGICAL?,,,,UBEPOL BR150L,,,NAME OF SUPPLIER : TSL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"andTechnologicalDevelopment Area,Shenyang ,",,,,,,,,,*PDF OF BL AND FORM-E MUST BE SCAN OF THE ORIGINAL WITH COLORED,,*In case original Form-E,"DEVELOPMENT AREA (SEDA)Shenyang, Liaoning Province, CHINA",,,,,,,UBEPOL BR150L,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Liaoning,P.R.China .110142",,,,,,,,,"*Please issue P/L,Surrendered B/L,CoA,I/P(No need I/P cert. for each shipment).",,need to be dispatched,ZIP CODE:110142 OR 110141            ATTN:ATTN:Suning. Wang./ + 8624 8603 5105,,,,,,,MICHELIN'S ORDER NUMBER :5910244622,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,( Tel:+ 8624 8603 5105    Fax: 86-24-25176770/25176762),,,,,,,,,"(showing”returnable metal boxes ""  on B/L)",,,,,,,,,,MATERIAL CODE:,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,USCI:912101066046211235 ,,,,,,,,,*please issue PROFORMA I/V and P/L for  box only ,,,,,,,,,,PG CODE: PG02596AD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTN:SY2 PUR department /Suning. Wang. E-Mail: suning.wang@michelin.com,,,,,,,,,*please issue Full set of FORM-E WITH UBE INVOICE  (H.S.CODE:40022090,,,,,,,,,,MFD CODE:MFD1308561A ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(PLEASE INFORM US FORM-E THIRD PARTY INV'S DETAILS),,,,,,,,,,LOT NO. ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Please  issue TSL FOB CUSTOM  I/V for From-E ,,,,,,,,,,DATE OF FABRICATION:,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUANTITY:20.16MTS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*PLEASE SHOW ""PG CODE: PG02596AD"" AND ""MFD CODE:MFD1308561A"" ON ALL DOCS.",,,,,,,,,,MADE IN THAILAND,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO.1-UP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICHELIN,,,"SHANGHAI MICHELIN TIRE CO., LTD.",,,formula,,,5400138582,,,,,,"SHANGHAI MICHELIN TIRE CO., LTD.","SHANGHAI, CHINA",FULL CONTACT DETAIL OF TSL ,,,,,,,"LAEM CHABANG, THAILAND","SHANGHAI, CHINA",,,"Shanghai Michelin Tire Co.,Ltd. ",,,Attn:Bilin-san and Jun-san ,,SAME AS CONSIGNEE,,,SAME AS CONSIGNEE,"*NO NEED TO DISPATCH THE ORIGINAL DOCS.  BY COURIER, PDF FILES OF ORIGINAL ARE ENOUGH.",*Please send ALL ORIGINAL DOCS.(including TSL commercial INV) PDF COPIES BY E-MAIL to UEC Matsumoto.,,,UBEPOL BR150L,20.16,MT,SYNTHETIC RUBBER,,,SHIPPING MARK,Overseas Sales Group
,,,,,,,,,,,,,,,,,*WITH TRADE RESISTRATION NO.,,,,,,,,,,,"NO. 2915 JIAN CHUAN ROAD, MIN HANG DEVELOPMENT",,,tel:0086-21-3405488,,,,,,*PDF OF BL AND FORM-E MUST BE SCANED OF THE ORIGINAL WITH COLORED,*Please keep the original Form-E 2 for 2 months after ETD.,,,,,,UBEPOL BR150L,,,NAME OF SUPPLIER : TSL,UBE Elastomer Co. Ltd. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ZONE, SHANGHAI, 201111 P.R.CHINA Ms.Jun You ",,,SHANGHAI MICHELIN WARRIOR TIRE,,,,,,"*Please issue P/L,Surrendered B/L and arrange I/P(No need cert. for each shipment).",,,,,,,,,,BR150L,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel: +86 21 3405 4888 *3226,,,"NO.2915 JIANCHUAN ROAD, MIN HANG",,,,,,*Please issue the original FORM-E  WITH TSL FOB Custom I/V.,,,,,,,,,,MICHELIN'S ORDER NUMBE.:5400138582,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fax:54723540 or 86 21 3372 7711 *226 ,,,"DEVELOPMENT ZONE,",,,,,,*Please issue of TSL FOB CUSTOM I/V for Form-E,,,,,,,,,,MATERIAL NO. PG02596AD/NIF code 01406 .,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,USCI:91310000607429866C E-MAIL,,,SHANGHAI,,,,,,(please mark net weight (xx.xxxTON) on the form-E  ( 7 Column ) .,,,,,,,,,,LOT:NO. ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,:jun.you@michelin.com,,,CHINA zip code 201111,,,,,,*Please issue  CoA(and show NIF code  01406 on CoA)  ,,,,,,,,,,DATE OF FABRICATION:,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Please issue  Declaration of No-Wood Packing Material,,,,,,,,,,QUANTITY:20.16MTS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Please issue  the proforma I/V AND P/L for boxes.,,,,,,,,,,MADE IN THAILAND,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Please apply Shipping Line to extend D/M & D/T Free Time each 14days.,,,,,,,,,,NO.1-UP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodyear,"COOPER(KUNSHAN)TIRE CO.,LTD.",??????????? Cooper_4500003496.xls,"Cooper (Kunshan) Tire Co,. Ltd",,,,4500003496,UEG PO No.,4500003496,Cooper NO.: ,72026877,Material Code,SMITHIC on grade label,*put marking CODE on both sides of GPS box ,"Cooper (Kunshan) Tire Co,. Ltd",CHINA,FULL CONTACT DETAIL OF TSL ,,,,,,,"LAEM CHABANG, THAILAND",,SHANGHAI,,"Cooper (Kunshan) Tire Co., Ltd.",,,,,"Cooper (Kunshan) Tire Co., Ltd.",,,"Cooper (Kunshan) Tire Co., Ltd.","*SWB,P/L,I/P,CoA",,,,UBEPOL VCR617,20.16,MT,SYNTHETIC RUBBER,,,SHIPPING MARK,Overseas Sales Group
,,,,,,,,,,,,,,,,,WITH TRADE RESISTRATION NO.,,,,,,,,,,,"No. 168 Bailing Road, Kunshan Development ",,,,,"No. 168 Bailing Road, Kunshan Development ",,,"No. 168 Bailing Road, Kunshan Development ",*I/V AND P/L FOR BOX,,,,,,,,,,"Cooper (Kunshan) Tire Co,. Ltd",UBE Elastomer Co. Ltd. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zone, Jiangsu Province",,,,,"Zone, Jiangsu Province",,,"Zone, Jiangsu Province",*FULL SET OF ORIGINAL FORM-E(WITH TSL INVOICE),,,,,,,,,,Cooper PO# No.72026877,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"215331 Kunshan, Jiangsu Province",,,,,"215331 Kunshan, Jiangsu Province",,,"215331 Kunshan, Jiangsu Province","* COOPER PO NO.AND   Material Code: SMITHIC,  SHOULD BE ON ALL DOCS.",,,,,,,,,,Lot No. ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHINA,,,,,CHINA,,,CHINA,,,,,,,,,,,Quantity:    kg,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contact: Maggie Pan (Import/Export Dept),,,,,Contact: Maggie Pan (Import/Export Dept),,,Contact: Maggie Pan,*NO NEED TO ISSUE I/P CERTIFICATE FOR THIS SHIPMENT,,,,,,,,,,Material Code:SMITHIC,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel: +86- 0512 5772-7609,,,,,Tel: +86- 0512 5772-7609,,,Tel: +86- 0512 5772-7609,"*PLEASE DISPATCH FULL SET OF ORIGINAL  FORM-E, customs INV TO UEG, ",,,,,,,,,,Country of Origin: Thailand,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,maggie_pan@goodyear.com,,,,,maggie_pan@goodyear.com,,,,"FOR OTHER DOCS, YOU DON'T NEED TO DISPATCH.",,,,,,,,,,Production Date: ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,USCI?91320583772033662N,,,,,peyton_shan@goodyear.com,,,,"*Please send all original docs. copies( COLORED PDF) by email to UEG and UEC, and send UEC INV+BL copies separately.",,,,,,,,,,Expiry Date:,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodyear,GOODYEAR DUNLOP TIRES AMIENS SUD,???????????????????GY AMIENS_4500002509_.xls,GOODYEAR AMIENS SUD,,,,4500002509,UEG PO No.,4500002509,GY PO NO.:,8210256629,GOODYEAR CODE,ESTHERIC on grade label,*put marking CODE on both sides of Goodpack box ,GOODYEAR DUNLOP TIRES ,FRANCE,TSL /UBE EUROPE GMBH,,,,,,,"LAEM CHABANG, THAILAND",,AMIENS FRANCE,,GOODYEAR OPERATIONS SA.,,,,,PSA BDP INTERNATIONAL LOJISTIK ,,,GOODYEAR AMIENS SUD,"*SWB, P/L, CoA,I/P",*NO NEED TO ISSUE I/P CERTIFICATE FOR THIS SHIPMENT,,,UBEPOL VCR412,20.16,MT,SYNTHETIC RUBBER,,,,Overseas Sales Group
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amiens plant,,,,,ANONIM SIRKETI,,,60 AV ROGER DUMOULIN,,*NO NEED TO DISPATCH ANY DOCS. TO UEG,,,,,,,,,,UBE Elastomer Co. Ltd. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVENUE GORDON SMITH,,,,,"MASLAK MAHALLESI, SAAT SOKAK",,,80030 AMIENS,,"*Please send all original docs. copies( COLORED PDF) by email to UEG and UEC, and send UEC INV+BL copies separately.",,,,,,,,,SHIPPING MARK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7750  COLMAR-BERG,,,,,"SPINE TOWER SITESI NO:5, IC KAPI NO:48, ",,,FRANCE,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,LU -  LUXEMBOURG,,,,,KAT:3 ,,,,,,,,,,,,,,DUNLOP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34398 SARIYER ISTANBUL,TURKEY",,,,,,,,,,,,,,AMIENS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+90 (212) 346-0601,,,,,,,,,,,,,,UBEPOL VCR412,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contact email: goodyear-ofimp.llptr@bdpint.com,,,,,,,,,,,,,,GOODYEAR CODE:ESTHERIC,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sar?yer V.D tax number 7331238168,,,,,,,,,,,,,,GY PO NO.  8210256629,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C/NO. 1-UP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodyear,,,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA,,,,4500002530,UEG PO No.,4500002530,GY PO NO.:,4500477572,GOODYEAR CODE:,SMITHIC on grade label,*put marking CODE on both sides of Goodpack box ,GOODYEAR DUNLOP TIRES ,BRASIL,TSL ON BEHALF OF  UBE EUROPE GMBH,,,,,,,"LAEM CHABANG, THAILAND",,SANTOS BRASIL,,Goodyear do Brasil Produtos,,,,,S. Magalhaes S.A. Logistica em ,,,Goodyear do Brasil Produtos de Borracha Ltda.,*FULL SET OF ORIGIAL B/L,*Please show material NCM NO.4002.20 on BL and P/L.,,,UBEPOL VCR617,20.16,MT,POLYBUTADIENE RUBBER,,,GOODYEAR DO BRASIL,Overseas Sales Group
,,,,,,,,,,,,,,,,,,,,,,,,,,,,de Borracha Ltda.,,,,,Comercio Exterior,,,"Av. Affonso Pansan, 3415 (Anhanguera, KM128)",(PLEASE SHOW FREIGHT VALUE ON BL),"*Please show Box NCM NO.7309.00(GPS) on BL(In case of returnable Box, )",,,,,,,,,PRODUTOS,UBE Elastomer Co. Ltd. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Av. Affonso Pansan, 3415 (Anhanguera, KM 128)",,,,,"Praca da Republica, 62- 2nd Floor",,,Vila Bertini – Americana City,"*P/L, I/P, COA",,,,,,,,,,GY P.O.: NO.4500477572,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13473-620 Vila Bertini - Americana City,,,,,"11013-010 Santos, SP/ Brasil",,,São Paulo State/Brazil,*I/V for Returnable Metal box(INV including packing details),*Plesae send all docs.Draft to UEG (CC;KIKUCHI)before issue the original doc.,,,,,,,,,UBEPOLVCR617,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sao Paulo State / Brazil,,,,,CNPJ 58.130.089/0001-90,,,Zip Code 13473-620,(Please be shown Container No. and Lot No. on P/L),*All documents must signed by hand in blue ink indicating name and title of person signing ,,,,,,,,,MATERIAL CODE:SMITHIC,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNPJ 60.500.246/0016-30,,,,,A/C: Giselia Oliveira and Wilson Carlos,,,CNPJ 60.500.246/0016-30,,"*Please dispatch the full set of  ORIGINAL BL to UEG, for other docs  PDF COPIES are enough.",,,,,,,,,C/NO. 1-UP,
