Ship-To-SAP,Link,Ship-To,Purchase Order No. : ,Date of Order :  ,TO:,CONSIGNEE & NOTIFY :,AGENT:,END USER:,DELIVERY DATE (ETD) :,TERMS OF PAYMENT :,TERMS OF DELIVERY :,PACKING INSTRUCTIONS :,DESTINATION :,  CUSTOMER PO No.:,PRODUCT,DESCRIPTION,QUANTITY,UNIT PRICE,Unit,AMOUNT,Confirm by
,,SUMITOMO RUBBER BRASIL,4500003671,same pattern,Same above,(NOTIFY=>PLS REFER S/I),,,same pattern,  BY T.T.R 60 DAYS AFTER B/L DATE,CFR PARANAGUA PORT BRAZIL,GPS,PARANAGUA PORT BRAZIL,4500003671,VCR,VCR617,,,USD,,T.FUJIOKA
,,,,,,,,,,,,,,,,,,,,,Senior Exective Vice President
,,,,,,,,,,,,,,,,,,,,,"Thai Synthetic Rubbers  Co., Ltd."
,,SUMITOMO RUBBER SOUTH AFRICA (PTY) LTD.,4500003727,same pattern,Same above,(NOTIFY=>PLS REFER S/I),,,same pattern,  BY T.T.R 90 DAYS AFTER B/L DATE,"FOB LAEM CHABANG , THAILAND",GPS,"DURBAN , SOUTH AFRICA",4500003727,VCR,VCR617,,,USD,,T.FUJIOKA
,,,,,,Sumitomo Rubber South Africa (Pty) Ltd,,,,,,,,,,,,,,,Senior Exective Vice President
,,,,,,Attention : Lorna Bandoraho ,,,,,,,,,,,,,,,"Thai Synthetic Rubbers  Co., Ltd."
,,,,,,Lion Match Office Park,,,,,,,,,,,,,,,
,,,,,,The Old Factory Building,,,,,,,,,,,,,,,
,,,,,,892 Umgeni Road,,,,,,,,,,,,,,,
,,,,,,Durban 4001,,,,,,,,,,,,,,,
,,,,,,Kwazulu Natal,,,,,,,,,,,,,,,
,,,,,,South Africa,,,,,,,,,,,,,,,
,,,,,,Tel: +27-31-2421111,,,,,,,,,,,,,,,
,,,,,,Email : Lorna.bandoraho@srigroup.co.za,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Sumitomo Rubber ?Hunan?CO.LTD ,BRHN-26-07,same pattern,Same above,Sumitomo Rubber ?Hunan?CO.LTD ,,,same pattern,  BY T.T.R 90 DAYS AFTER B/L DATE,"CIF SHANGHAI, CHINA",  STANDARD EXPORT PACKING ,"SHANGHAI, CHINA",BRHN-26-07,VCR,  UBEPOL VCR617,,,       US$,,T.FUJIOKA
,,,,,,"No.1318 Liangtang East Road ,?Changlong street,?Changsha county,?",,,,,,,,,,,,,,,Senior Exective Vice President
,,,,,,"Changsha city,?Hunan province,?China",,,,,,,,,,,,,,,"Thai Synthetic Rubbers  Co., Ltd."
,,,,,,TEL: 0086-731-86407006-1229,,,,,,,,,,,,,,,
,,,,,,FAX: 0086-731-86407030,,,,,,,,,,,,,,,
,,,,,,Attention:DingJin Wu,,,,,,,,,,,,,,,
,,,,,,Notify:same as consignee,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,TOYO TYRE MALAISIA,7800009932-4,same pattern,Same above,Toyo Tyre Malaysia Sdn Bhd,,,same pattern,  BY T.T.R 30 DAYS AFTER B/L DATE,CIF PENANG,GPS,,7800009932-4,VCR,UBEPOL VCR617,,,       US$,,T.FUJIOKA
,,,,,,"PT23101, Jalan Tembaga Kuning",,,,,,,,,,,,,,,Senior Exective Vice President
,,,,,,Kawasan Perindustrian Kamunting Raya,,,,,,,,,,,,,,,"Thai Synthetic Rubbers Co., Ltd."
,,,,,,"PO Box 1,34600, Kamunting, Perak. Malaysia",,,,,,,,,,,,,,,
,,,,,,Contact Person : Ms Lim / Ms Yap,,,,,,,,,,,,,,,
,,,,,,Tel : 605-8206669 Fax : 605-8206659,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,"HENGDASHENG TOYO TIRE(ZHANGJIAGANG) CO., LTD.",BR-TOYO-2503,same pattern,Same above,"HENGDASHENG TOYO TIRE(ZHANGJIAGANG) CO., LTD.",,,same pattern,  BY T.T.R 60 DAYS AFTER B/L DATE,CIF ZHANGJIAGANG,  STANDARD EXPORT PACKING ,"ZHANGJIAGANG, CHINA",BR-TOYO-2503,VCR,  UBEPOL VCR617,,,       US$,,T.FUJIOKA
,,,,,,"58,DONGHAI ROAD, YANGTZE INTERNATIONAL CHEMICAL",,,,,,,,,,,,,,,Senior Exective Vice President
,,,,,,"INDUSTRIAL PARK, ZHANGJIAGANG, JIANGSU, CHINA",,,,,,,,,,,,,,,"Thai Synthetic Rubbers  Co., Ltd."
,,,,,,CONTACT PERSON: Lili Yu  E-MAIL: yulili@toyotiresz.com ,,,,,,,,,,,,,,,
,,,,,,TEL?0512-3500-7124 FAX?0512-35007203,,,,,,,,,,,,,,,
,,,,,,Notify?the same as above and USL,,,,,,,,,,,,,,,
,,,,,,USCI:91320592553812607A ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,TOYO TIRE NORTH AMERICA,17169,same pattern,Same above,TOYO TIRE NORTH AMERICA MANUFACTURING INC.,,,same pattern,  BY T.T.R 60 DAYS AFTER B/L DATE,FOB LAEM CHABANG,,"White, GA ",17169,BR,  UBEPOL VCR617,,,       US$,,T.FUJIOKA
,,,,,,3660 Highway 411 NE,,,,,,,,,,,,,,,Senior Exective Vice President
,,,,,,"White, GA 30184",,,,,,,,,,,,,,,"Thai Synthetic Rubbers Co., Ltd.  "
,,,,,,ATTN:  SUSAN WOOD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BRIDGESTONE INDIA PRIVATE LIMITED,BS INDIA 4500077118 Pune TALEGAON PO & SI.xls,BRIDGESTONE INDIA PRIVATE LIMITED,4500077118,,Same above,Bridgestone India Private Limited,,,same pattern,  BY T.T.R 60 DAYS AFTER B/L DATE,CIF NHAVA SHEVA,One Way Box,NHAVA SHEVA,4500077118, BR, UBEPOL BR150L,,,USD,,T. Fujioka
,,,,,,"PLOT NO. A-43, PHASE-II, MIDC CHAKAN",,,,,,,,,,,,,,,Senior Exective Vice President
,,,,,,"VILLAGE SAWARDARI, TALUKA KHED, DIST. PUNE,",,,,,,,,,,,,,,,"Thai Synthetic Rubbers  Co., Ltd."
,,,,,,"MAHARASHTRA - 410 501, INDIA",,,,,,,,,,,,,,,
,,,,,,TEL: +91.2135.672.000,,,,,,,,,,,,,,,
,,,,,,ATTN:,,,,,,,,,,,,,,,
,,,,,,IEC NO. 0396013341/GSTIN Number 27AABCB2304E1ZD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BRIDGESTONE SA (PTY) LTD,BS S.A 4501193944 xls.xls,BRIDGESTONE SOUTH AFRICA,4501193944,,Same above,BRIDGESTONE SA (PTY) LTD,,,,  BY T.T.R 90 DAYS AFTER B/L DATE,FOB LAEM CHABANG,GPS,"ELIZABETH, SOUTH AFRICA",4501193944,  BR,  UBEPOL VCR412,,,       US$,,T. Fujioka
,,,,,,"189 GRAHAMSTOWN ROAD, DEAL PARTY, ",,,,,,,,,,,,,,,Senior Exective Vice President
,,,,,,"PORT ELIZABETH, 6001, SOUTH AFRICA",,,,,,,,,,,,,,,"Thai Synthetic Rubbers Co., Ltd."
,,,,,,NOTIFY;,,,,,,,,,,,,,,,
,,,,,,ATTN:SHIPPING DEPT,,,,,,,,,,,,,,,
,,,,,,"PO BOX 992 PORT ELIZABETH, 6000",,,,,,,,,,,,,,,
,,,,,,SOUTH AFRICA FAX:+27-41-453 7763,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BRISA BRIDGESTONE SABANCI LASTIKSANAYI VE TICARET A.S.,BS Turkey_8026803.xls,BRISA BRIDGESTONE SABANCI ,8026803,,Same above,BRISA BRIDGESTONE SABANCI LASTIK SANAYI VE TICARET A.S.,,,,  BY T.T.R 45 DAYS AFTER B/L DATE,"CIF GEBZE, TURKEY",GPS,"Y?lport(GEBZE), TURKEY",8026803,  BR,  UBEPOL VCR412,,,       US$,,T. Fujioka
,,LASTIK SANAYI VE TICARET A.S.,,,,Alikahya Fatih Mah.Sanayi Cad.No:98 ,,,,,,,,,,,,,,,Senior Exective Vice President
,,,,,,41310 ?zmit / KOCAEL? Turkey,,,,,,,,,,,,,,,"Thai Synthetic Rubbers  Co., Ltd."
,,,,,,Contact Person : BURCU YUZUAK,,,,,,,,,,,,,,,
,,,,,,Phone : +90 (262) 316 57 53,,,,,,,,,,,,,,,
,,,,,,E-Mail  : b.yuzuak@brisa.com.tr,,,,,,,,,,,,,,,
,,,,,,NOTIFY:SAME AS CONSIGNEE ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BRIDGESTONE FIRESTONE NT WILSON PLANT,BS WILSON 4900235021.xlsx,BRIDGESTONE FIRESTONE NT ,4900235021,,Same above,Bridgestone Firestone NT  Wilson Plant,,,,  BY T.T.R 90 DAYS AFTER B/L DATE,DAP WILSON NC,  METAL  BOX,"WILSON ,NC",4900235021,VCR,  UBEPOL VCR412,,,       US$,,T. Fujioka
,,WILSON PLANT,,,,Triangle East Storage 2010 Baldree Road Wilson ,,,,,,,,,,,,,,,Senior Exective Vice President
,,,,,,NC27893  USA,,,,,,,,,,,,,,,"Thai Synthetic Rubbers Co., Ltd."
,,,,,,TEL: 252-246-7630  FAX: 252-246-7315,,,,,,,,,,,,,,,
,,,,,,ATTN: Jeff Pyle,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,NOTIFY :SAME AS CONSIGNEE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BRIDGESTONE (WUXI) TIRE CO., LTD.",BS WUXI 4500471133.xls,BRIDGESTONE WUXI TIRE,4500471133,,Same above,"BRIDGESTONE (WUXI) TIRE CO.,LTD.",,,,  BY T.T.R 60 DAYS AFTER B/L DATE,CIF SHANGHAI CHINA,GPS,SHANGHAI CHINA,4500471133,  BR,  UBEPOL VCR412,,,       US$,,T. Fujioka
,,,,,,"No.67, XINMEI ROAD,WUXI NATIONAL HIGH-NEW",,,,,,,,,,,,,,,Senior Exective Vice President
,,,,,,TECHNICAL INDUSTRIAL DEVELOPMENT,,,,,,,,,,,,,,,"Thai Synthetic Rubbers  Co., Ltd."
,,,,,,"ZONE, WUXI 214028, JIANGSU, CHINA",,,,,,,,,,,,,,,
,,,,,,FAX:86-0510-8532-2199,,,,,,,,,,,,,,,
,,,,,,TEL:86-0510-8532-2288,,,,,,,,,,,,,,,
,,,,,,NOTIFY:SAME AS CONSIGNEE ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
P.T. BRIDGESTONE TIRE INDONESIA,BSIN F2602-TSL-2.xlsx,BS INDONESIA,F2602-TSL-2,,Same above,CONSIGNEE & NOTIFY :,,,,  BY T.T.R 30 DAYS AFTER B/L DATE,CIF JAKARTA INDONESIA,GPS,JAKARTA INDONESIA,F2602-TSL-2,BR, UBEPOL BR150L,,,USD,,T.FUJIOKA
,,,,,,PT. BRIDGESTONE TIRE INDONESIA,,,,,,,,,,,,,,,Senior Exective Vice President
,,,,,,"Kawasan Industri Surya Cipta Jl. Surya Utama Kav 8 – 13,",,,,,,,,,,,,,,,Thai Synthetic Rubbers 
,,,,,,"Kutamekar, Ciampel, Kab. Karawang, Jawa Barat, 41363",,,,,,,,,,,,,,," Co., Ltd."
,,,,,,Phone No. : (+62-267) 440 201,,,,,,,,,,,,,,,
,,,,,,NPWP No.(TAX ID No.) 0010 0011 8809 2000 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BRIDGESTONE TAIWAN CO., LTD.",BSTW_200008199.xls,"BRIDGESTONE TAIWAN CO.,LTD.",,,Same above,"BRIDGESTONE TAIWAN CO.,LTD.",,,,  BY T.T.R 10 DAYS AFTER B/L DATE,CIF KEELUNG,GPS,KEELUNG TAIWAN,200008199,VCR,  UBEPOL VCR412,,,       US$,,T. Fujioka
,,,,,,"No.1-1, Wenhua Rd, Hukou Township",,,,,,,,,,,,,,,Senior Exective Vice President
,,,,,,Hsinchu County 30352 Taiwan (R.O.C.),,,,,,,,,,,,,,,"Thai Synthetic Rubbers  Co., Ltd."
,,,,,,PHONE:886-35-981621,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BRIDGESTONE DE MEXICO, S.A. DE C.V.",PO 4200036311 BS MEXICO Doc.xls,BS MEXICO,4200036311,,Same above,PLEASE REFER TO THE SI,,,,  BY T.T.R 90 DAYS AFTER B/L DATE,CIF MANZANILLO,  STANDARD EXPORT PACKING,MANZANILLO,4200036311,VCR,VCR412,,,USD,,T.FUJIOKA
,,,,,,,,,,,,,,,,,,,,,Senior Exective Vice President
,,,,,,,,,,,,,,,,,,,,,"Thai Synthetic Rubbers Co., Ltd."
